Product Name,Hair Type,Comment,Sentiment Score,Tags,Category,User Name,Comment Date,Product URL,Product Image,Description,Price,Analyzed Date
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,"Texture:fake
Effectiveness:bad
Fragrance:mabaho",0.944993257522583,shine; anti-frizz; leave-in; smoothing,Styling Product,a*****a,2025-11-11T21:29:44.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,Kulang ang pinadala,0.6594675183296204,shine; anti-frizz; leave-in; smoothing,Styling Product,marsph2204,2023-11-03T15:10:31.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,Hindi xa kasing bango ng original na vitress..,0.4166499674320221,shine; anti-frizz; leave-in; smoothing,Styling Product,marvin.ley,2024-03-19T11:43:31.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,I love it. Thank you so much seller very legit.,0.94134259223938,shine; anti-frizz; leave-in; smoothing,Styling Product,shielix_1208,2024-03-20T01:31:52.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,Wrong item recieved 🥴,0.948678731918335,shine; anti-frizz; leave-in; smoothing,Styling Product,mitcheecoi,2025-08-27T08:47:25.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,mabaho promise,0.4131686091423034,shine; anti-frizz; leave-in; smoothing,Styling Product,c11qk5650f,2025-09-06T11:04:48.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,Not yet tried,0.7557716369628906,shine; anti-frizz; leave-in; smoothing,Styling Product,g*****1,2025-10-18T12:39:18.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,Well-packed and na-iship agad ng seller.,0.8557499051094055,shine; anti-frizz; leave-in; smoothing,Styling Product,c*****t,2025-11-19T04:43:27.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,Legittt,0.5480918884277344,shine; anti-frizz; leave-in; smoothing,Styling Product,marcarquilangmalenab,2025-11-18T10:07:43.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,"Effectiveness:10/10
Texture:10/10
Fragrance:10/10",0.8438588976860046,shine; anti-frizz; leave-in; smoothing,Styling Product,lazyghurl28,2025-05-30T02:38:55.000Z,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,2025-11-19 23:41:59
