Product Name,Hair Type,Comment,Sentiment Score,Tags,Category,User Name,Comment Date,Product URL,Product Image,Description,Price,Analyzed Date
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,Pagbukas ko ganyan na ㅜㅜ,0.7572152018547058,keratin; repair; smoothing,Conditioner,moselim,2021-05-21T11:57:34.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,Seriously?,0.4992709755897522,keratin; repair; smoothing,Conditioner,sairieljibril,2025-01-24T02:16:09.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,"Some scratches visible, but okay",0.7129607796669006,keratin; repair; smoothing,Conditioner,m*****l,2022-11-29T03:18:51.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,Wrong items received,0.9428468346595764,keratin; repair; smoothing,Conditioner,jclph,2023-01-22T07:10:24.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,Poor packaging. So disappointed,0.9747364521026612,keratin; repair; smoothing,Conditioner,oetam26,2022-01-27T07:42:42.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,Walang pa.free gift,0.6420946717262268,keratin; repair; smoothing,Conditioner,tinandalajao06,2021-12-15T05:10:22.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,satisfied repeat buyer here! authentic and good quality as always. t h a n k. y o u. s o. m u c h.  s e l l e r. till next transaction!,0.6283164620399475,keratin; repair; smoothing,Conditioner,c*****a,2022-06-08T03:12:12.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,Good quality and fast shipping. Items arrived in excellent condition. Thanks seller for always shipping and packing it securely.,0.9410814642906188,keratin; repair; smoothing,Conditioner,t*****s,2024-06-18T03:16:29.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,"Fragrance:smells good
Texture:normal conditioner
Effectiveness:10/10

Bought this to tryy, I've alreay try the pink one. Maganda rin siya, helps my hair to look healthy",0.9604927897453308,keratin; repair; smoothing,Conditioner,a*****s,2024-06-09T04:36:48.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
Cream Silk Triple Keratin Rescue Ultra Conditioner Ultimate Repair and Shine 170ml,curly,Thank you seller sa magandang pag packed ng mga orders  ko talagang secured  with bubble wrap . Thank you din sa mabait at suking rider.,0.8264160752296448,keratin; repair; smoothing,Conditioner,s*****2,2024-05-11T08:14:18.000Z,https://shopee.ph/Cream-Silk-Triple-Keratin-Serum-Conditioner-Ultimate-Repair-Shine-170ml-i.40867978.1239418278?extraParams=%7B%22display_model_id%22%3A32042721994%2C%22model_selection_logic%22%3A3%7D&sp_atk=507e69ec-888d-4ec3-89f1-2a933305fa0e&xptdk=507e69ec-888d-4ec3-89f1-2a933305fa0e,https://down-bs-us.img.susercontent.com/ph-11134207-7qul4-lkhxxbphzmm6a0.jpg,"Nourishes each hair strand and helps repair damage inside and out for hair that's ultimately healthy and shiny* 

*Lab-tested, vs. non-conditioning shampoo, with regular use",₱221,2025-11-23 15:10:31
