Product Name,Hair Type,Comment,Sentiment Score,User Name,Comment Date,Product URL,Product Image,Description,Price,Analyzed Date
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,"Effectiveness:i have'nt tested yet these items
Fragrance:i love the scents
Texture:soon as i tested it",0.8006572127342224,c*****o,2022-06-09T11:57:09.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:10
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,"Benefits:it certainly helped moisturized my curls as an avid user of this product
Fragrance:nicee natural fragrance
Usage Experience:its nice they have a nee packaging as their previous was hard to squeeze the bottle when only a few drops left",0.8298217058181763,m*****o,2025-03-21T06:44:26.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:10
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,"Beauty Profile:frizzy curly hair
Benefits:makes your hair moisturized
Usage Experience:lasts very long

Thank u! I've been wanting to try this product and it works very well madali lang sya iapply sa buhok tas no need to put too much kasi ambilis nya makamoisturize. Its safely packed and mabilis din yung shipping nya👍",0.8183227181434631,a*****9,2025-06-10T07:37:51.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:11
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,"User Tips:better to apply to damp hair then comb with widetooth comb
Usage Experience:easy to apply
Packaging:nice packaging

Thank you seller, parcel was packed properly, this is my second time to order.",0.7292777299880981,m*****6,2025-11-12T01:06:49.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:11
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,"Effectiveness:⭐️⭐️⭐️⭐️⭐️
Fragrance:⭐️⭐️⭐️⭐️⭐️
Texture:⭐️⭐️⭐️⭐️⭐️

Products arrived early and in great condition. I’ve been using these products for quite some time now and I can say it works well on my hair. Thank you very much! 💚😊",0.9843822121620178,m*****e,2022-02-18T01:53:13.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:11
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,"Packaging:10/10
Beauty Profile:10/10
Fragrance:n/a

This was my 2nd time to order and I love how this shop put a fragile note on the product and make sure it was secured to prevent leakage on shipment, you will not be stress waiting for your order because shipment was fast and it arrived on my doorstep for 3days. Thank you so much!",0.8879355788230896,a*****n,2023-05-23T14:02:37.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:11
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,"Fragrance:Mabango
User Tips:First time to try

Well packed and sealed po ang products, maganda packaging secured talaga. First time to try this product hope okay cya sa hair ko. Thank you seller.",0.863126277923584,a*****a,2025-07-15T10:55:01.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:11
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,"Usage Experience:good
Benefits:softens curls
User Tips:use once

Tama yung product na binigay compared sa order ko. Well packed. No leak. Mura lang kasi ginamitan ko ng voucher and coins.",0.7363623976707458,berenice31_,2025-10-09T07:07:41.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:11
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,I have a curly hair and this one suits me. I love the smell. It was sealed properly. I got my order after a few days. You can try to put this leave on conditioner after showering then scrunch it to make curls then put gel for added volume and shine. Leave on conditioner alone won't make ur hair shiny and with volume,0.7309247255325317,mystic_cedrine85,2022-11-22T22:27:15.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:11
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,"Texture:great
Effectiveness:yes
Fragrance:smooth

Highly recommend well pack good packaging bilis dumating well order again salamat seller",0.7900736927986145,s*****4,2023-09-17T09:25:47.000Z,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,,,2025-11-16 14:27:11
