Product Name,Hair Type,Comment,Sentiment Score,Tags,Category,User Name,Comment Date,Product URL,Product Image,Description,Price,Analyzed Date
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,Complete orders!! Thank you watsons.,0.941678524017334,hydrating; oil-infused; anti-frizz,Conditioner,dongdai,2021-08-21T02:36:58.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:44
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,"Apologized for unrelated attachments, in regards with the orders overall it does with its own job. Thank you! The only thing that its not doing their job is that crap delivery man!",0.8573699593544006,hydrating; oil-infused; anti-frizz,Conditioner,g*****s,2023-09-04T20:18:24.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:45
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,"the item arrived earlier than expected. i dont like the packaging though since there are no bubble wraps. however, the items are in good condition",0.4060763418674469,hydrating; oil-infused; anti-frizz,Conditioner,e*****a,2023-08-07T12:00:36.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:45
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,Effectiveness:It's fine,0.9172749519348145,hydrating; oil-infused; anti-frizz,Conditioner,villardedonnabel04,2022-09-27T16:09:58.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:45
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,Loyal Dove Shampoo user!,0.7152571082115173,hydrating; oil-infused; anti-frizz,Conditioner,setfree2018,2022-08-13T02:07:41.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:45
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,Ibang dove ung nadeliver. ☹️ idk kung iba lang packaging nya or mali talaga na deliver. Kc ung mga reviews naman tama naman ung kanila. ☹️☹️☹️,0.8959734439849854,hydrating; oil-infused; anti-frizz,Conditioner,a*****e,2024-04-17T12:21:47.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:45
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,it looks like that the product i’ve received was used + weight was lighter than expected.,0.5530596971511841,hydrating; oil-infused; anti-frizz,Conditioner,mylenexxi05,2025-02-03T06:02:33.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:45
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,Ty seller,0.5103939771652222,hydrating; oil-infused; anti-frizz,Conditioner,k*****z,2024-09-20T02:14:52.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:45
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,Di nakasealed yung product and sira din yung takip😭,0.9038535952568054,hydrating; oil-infused; anti-frizz,Conditioner,m*****n,2025-07-03T05:13:48.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:45
DOVE Nourishing Oil Care 1 Minute Serum Conditioner 150ml,curly,"Iwan ka man nila, nandito pa din ang favorite promo mo, Ka-TM! May FREE 3GB valid for 3 days ka pag mag-register sa kahit anong promo worth at least P30, tulad ng All-In Surf30, hanggang 05/28/2025. I-text ang AS30 o ang keyword ng napiling promo to 8080. REF#: FTGRW55",0.6329455375671387,hydrating; oil-infused; anti-frizz,Conditioner,q*****e,2025-05-23T02:14:22.000Z,https://shopee.ph/DOVE-Restorative-Oil-Nourishing-Care-Conditioner-170ml-i.92328166.2542173114?extraParams=%7B%22display_model_id%22%3A70422990222%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837&xptdk=ca6b455d-39ea-4cb6-a4f7-b38aa3166837,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lf4vc1t76yoe7c.jpg,"""Discover our next generation of conditioners-- 

New Dove 1 Minute Serum Conditioners, infused with the transformative power of serum capsules that deeply penetrate the hair to repair from within. 

Dove Nourishing Oil Care 1 Minute Serum Conditioner instantly nourishes and transforms even extra dry, rough hair to sublimely soft and smooth.",₱220,2025-11-22 21:13:45
