Product Name,Hair Type,Comment,Sentiment Score,Tags,Category,User Name,Comment Date,Product URL,Product Image,Description,Price,Analyzed Date
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,"Fragrance:smells so good

The packaging is lacking",0.8939491510391235,hydrating; moisturizing; softening,Shampoo,t*****4,2022-07-15T04:03:31.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:55
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Nice,0.5364611148834229,hydrating; moisturizing; softening,Shampoo,raine111,2023-02-27T06:44:33.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:55
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Need ko pa itry pero may freebies sila so bongga!,0.9662750959396362,hydrating; moisturizing; softening,Shampoo,gelai.siopao,2024-10-27T16:10:41.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:55
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Thank you,0.9522091150283812,hydrating; moisturizing; softening,Shampoo,diyelectronics,2025-09-14T00:40:15.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:55
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Thank you!,0.982183575630188,hydrating; moisturizing; softening,Shampoo,j*****1,2023-07-05T09:32:07.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:55
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Havent tried it yet,0.8911599516868591,hydrating; moisturizing; softening,Shampoo,vanellopes2019,2022-03-29T23:47:03.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,"Been using this one, hindi na masyadong makati ulo ko pero nandiyan pa rin dandruff ko. Hindi man lang nabawasan",0.4727903604507446,hydrating; moisturizing; softening,Shampoo,aeyens,2024-10-20T22:29:38.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,"Usage Experience:100/10
User Tips:100/10
Fragrance:100/10

Got a compliment that my hair smell fragrant. Easy to apply. Just using it on my scalp by simple massaging it",0.9780609607696532,hydrating; moisturizing; softening,Shampoo,l*****6,2025-11-07T17:23:28.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Smells good. It is tea tree. Tea Tree is good for oily scalps.  The bottle is half see through. You can see the level inside . Easy to use just pour it. It does not leak.,0.7387804388999939,hydrating; moisturizing; softening,Shampoo,z*****1,2025-11-21T05:31:28.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,"Effectiveness:not effective cause expired

Don’t buy here, expired products. I tried to contact their help desk no reply. I’m not even asking for refund I’m just asking for accountability or explanation. Will not buy again from this store & will tell my experience with my friends and family so they will not buy from this store too!",0.9302499294281006,hydrating; moisturizing; softening,Shampoo,christineg0196,2024-12-09T12:41:38.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Tagal magship.,0.6731871366500854,hydrating; moisturizing; softening,Shampoo,xdavidsibayan,2025-08-19T00:01:33.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Not sure if expired na yung product!,0.700853168964386,hydrating; moisturizing; softening,Shampoo,jericcruz27,2024-04-28T04:40:37.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Nearly expiration and the cap is broken,0.9676469564437866,hydrating; moisturizing; softening,Shampoo,f*****g,2023-10-14T07:44:12.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,Perfect as always. Just what I needed.,0.9825701117515564,hydrating; moisturizing; softening,Shampoo,a*****8,2025-09-01T05:40:26.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,"Effectiveness:Effective
Fragrance:Sweet
Texture:Smooth

Items shipped immediately well packed no damage and quality legit seller authentic item thank you and more power and sales and we will order again soon and have a nice time and more sales and more discounted price. Thanks photos not related",0.7848014235496521,hydrating; moisturizing; softening,Shampoo,s*****p,2024-07-14T20:36:01.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,"Fragrance:ok
Effectiveness:ok
Texture:goo

Mabilis shipping. Thank you",0.904613435268402,hydrating; moisturizing; softening,Shampoo,karendiannelimchio,2024-04-10T02:06:24.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,"Fast delivery, wrapped safely, and good seller service. No damage when it arrived. A but pricey but it is sulfate free which is good for the hair.",0.8450484275817871,hydrating; moisturizing; softening,Shampoo,m*****a,2024-03-07T06:01:38.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
Herbal Essences Shampoo Scalp Soothing Tea Tree Oil Hair Care 400ml,wavy,thank you po! pang ilang order nako sa shop na ito and it never disappoints! mabango rin sya and effective and will definitely order again in the future,0.9365364909172058,hydrating; moisturizing; softening,Shampoo,y*****n,2024-03-03T09:14:11.000Z,https://shopee.ph/Herbal-Essences-Shampoo-Scalp-Soothing-Tea-Tree-Oil-Hair-Care-400ml-i.73395170.14051873753?extraParams=%7B%22display_model_id%22%3A142419693931%2C%22model_selection_logic%22%3A3%7D&sp_atk=c018d69a-6b61-4728-98fc-e8cf35625b8d&xptdk=c018d69a-6b61-4728-98fc-e8cf35625b8d,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m5drffz1fvoa47.jpg,"New! Experience the refreshing cleanse of Herbal Essences Bio:renew Tea Tree Oil Hair & Scalp Shampoo. Infused with Real Australian Tea Tree Oil, this scalp-soothing formula works to gently remove impurities and buildup, greatly reducing dryness and flakiness. Our carefully selected botanicals are endorsed by a world-leading authority on plant science, the Royal Botanic Gardens, Kew. With 0% silicones, parabens, and colorants, this shampoo gives you clean, residue-free nourishment you can truly feel.",₱475,2025-11-22 16:47:56
