Product Name,Hair Type,Comment,Sentiment Score,Tags,Category,User Name,Comment Date,Product URL,Product Image,Description,Price,Analyzed Date
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,"Fragrance:n/a
Effectiveness:1000/10
Texture:n/a

First time using this product and i really love it!❤️ Will definitely order again. Thank you so much watson",0.9878012537956238,keratin; anti-frizz; sulfate-free,Shampoo,cquee_04,2024-01-25T22:40:23.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:30
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,"dito lang nahiyang hair ko. hindi siya masyado nakakaoily ng scalp, hindi rin matigas sa buhok kapag nagtagal, best paired with their condi",0.7764848470687866,keratin; anti-frizz; sulfate-free,Shampoo,t*****e,2025-02-08T02:01:46.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:30
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,"halatang gamit na gamit tong shampoo na to, dito lang nahiyang buhok ko, malambot the whole day after use, bonus na lang yung mura lang din",0.6289610862731934,keratin; anti-frizz; sulfate-free,Shampoo,t*****e,2025-03-04T16:21:54.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:30
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,"Beauty Profile:frizzy and dry
Usage Experience:subrang ganda sa buhok smooth and shine mabula ito bet ko
Fragrance:mabango

Life is fragile and temporary The faces of today quickly become the faces of the past  Sorrow pain and anger  it all fades except love",0.736701488494873,keratin; anti-frizz; sulfate-free,Shampoo,p*****s,2025-04-14T10:31:41.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:30
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,"Good for scalp health and less hair fall! Leaves my hair soft and not too greasy, but it might not be super moisturizing if you have very dry hair. The scent is nice and not overpowering. Works best when paired with a good conditioner!",0.9189037680625916,keratin; anti-frizz; sulfate-free,Shampoo,n*****8,2025-03-12T05:15:36.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:30
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,"share more total product to help other customer 

it's a good shampoo that makes my hair soft i guess or it makes my hair smooth? (not sure whether my hair's status is smooth or soft) but yeah i like it altho i'm sad coz i got dandruff",0.3678293228149414,keratin; anti-frizz; sulfate-free,Shampoo,k*****_,2025-04-21T14:22:03.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:31
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,Haven’t tried it yet but well received the package. First time trying this shampoo,0.9712716341018676,keratin; anti-frizz; sulfate-free,Shampoo,a*****c,2024-06-10T00:37:38.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:31
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,Received my order well packaged and in good condition. Affordable :)). Thank you so much seller! I am excited to use this.,0.9800748825073242,keratin; anti-frizz; sulfate-free,Shampoo,s*****l,2024-11-22T02:48:06.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:31
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,"I love everything about this purchase. From the product per se to the door to door delivery. The only flaw is that, one of six Vitakeratin arrived broken so the treatment spilled over. I guess it's because of the shipment, so if you're purchasing this from visayas or mindanao, consider this experience of mine. If the products were bubble wrapped by the seller maybe this didn't happen.",0.4104118943214416,keratin; anti-frizz; sulfate-free,Shampoo,k*****3,2024-06-14T09:00:35.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:31
LUXE ORGANIX Premium Keratin Argan Shampoo 210ml,wavy,"Usage Experience:Luxe Organix Shampoo is our favourite
Fragrance:mild
Benefits:makes my hair shiny and soft

Been using this product since the pandemic and we love it so much.

Anyways, about the voucher i received from this shop i am really disappointed. Diko nagamit di naman responsive sa chat. 😪",0.9359063506126404,keratin; anti-frizz; sulfate-free,Shampoo,mrslawyer,2023-08-29T01:36:05.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Argan-Shampoo-210ml-i.92328166.7952016243?extraParams=%7B%22display_model_id%22%3A70975415592%2C%22model_selection_logic%22%3A3%7D&sp_atk=650f274c-f2d3-4835-9d63-b8c834653be6&xptdk=650f274c-f2d3-4835-9d63-b8c834653be6,https://down-bs-us.img.susercontent.com/6a37d9933e56a62adc6b1bee2b335f56.jpg,"Luxe Organix Keratin Shampoo with Argan oil is perfect for daily use.



- Enriched with Argan oil that helps nourish and make hair manageable

- Formulated in Canada

- Paraben Free

- For all hair types",₱129,2025-11-22 16:33:31
